GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
database3,com.omar.database3,BooksApiApplication,5,3,0,0,2,1,1,1,1,1
database3,com.omar.database3.services.impl,AuthorServiceImpl,5,77,0,0,0,19,1,8,1,8
database3,com.omar.database3.services.impl,BookServiceImpl,16,71,0,0,5,16,2,9,2,9
database3,com.omar.database3.scheduled,BookWatcher,0,26,0,0,0,9,0,3,0,3
database3,com.omar.database3.scheduled,AuthorWatcher,0,20,0,0,0,7,0,3,0,3
database3,com.omar.database3.mappers.impl,AuthorMapperImpl,0,20,0,0,0,5,0,3,0,3
database3,com.omar.database3.mappers.impl,BookMapperImpl,0,20,0,0,0,5,0,3,0,3
database3,com.omar.database3.config,MapperConfig,0,14,0,0,0,4,0,2,0,2
database3,com.omar.database3.domain.dto,AuthorDto.AuthorDtoBuilder,8,28,0,0,0,1,1,5,1,5
database3,com.omar.database3.domain.dto,BookDto.BookDtoBuilder,8,28,0,0,0,1,1,5,1,5
database3,com.omar.database3.domain.dto,BookDto,131,40,30,0,0,7,19,9,4,9
database3,com.omar.database3.domain.dto,AuthorDto,131,40,30,0,0,7,19,9,4,9
database3,com.omar.database3.controllers,AuthorController,5,145,1,3,1,28,1,9,0,8
database3,com.omar.database3.controllers,BookController,5,144,1,3,1,27,1,9,0,8
database3,com.omar.database3.domain.entities,AuthorEntity,131,40,30,0,0,7,19,9,4,9
database3,com.omar.database3.domain.entities,BookEntity.BookEntityBuilder,8,28,0,0,0,1,1,5,1,5
database3,com.omar.database3.domain.entities,BookEntity,135,36,30,0,0,7,20,8,5,8
database3,com.omar.database3.domain.entities,AuthorEntity.AuthorEntityBuilder,8,28,0,0,0,1,1,5,1,5
